,index,product_id,composition,fit,size,color,style_id,color_id,scrape_datetime
97,0,1107750002,Cotton 100%,Relaxed fit,,Dark denim blue,1107750,002,2022-10-31 19:42:43
98,1,1107750002,"Polyester 65%, Cotton 35%",Relaxed fit,,Dark denim blue,1107750,002,2022-10-31 19:42:43
99,0,0979945019,Cotton 100%,Loose fit,,Black,0979945,019,2022-10-31 19:42:43
100,1,0979945019,"Polyester 65%, Cotton 35%",Loose fit,,Black,0979945,019,2022-10-31 19:42:43
101,0,0875105029,Cotton 100%,Relaxed fit,"The model is 182cm/6'0"" and wears a size 32/32",Black,0875105,029,2022-10-31 19:42:43
102,1,0875105029,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 182cm/6'0"" and wears a size 32/32",Black,0875105,029,2022-10-31 19:42:43
103,0,0971061006,"Cotton 99%, Spandex 1%",Slim fit,,Denim blue,0971061,006,2022-10-31 19:42:43
104,0,0971061004,"Cotton 99%, Spandex 1%",Slim fit,"The model is 184cm/6'0"" and wears a size 31",Light denim blue,0971061,004,2022-10-31 19:42:43
105,0,0875105018,Cotton 100%,Relaxed fit,"The model is 187cm/6'2"" and wears a size 31/32",Pale denim blue,0875105,018,2022-10-31 19:42:43
106,1,0875105018,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 187cm/6'2"" and wears a size 31/32",Pale denim blue,0875105,018,2022-10-31 19:42:43
107,0,0811993044,"Cotton 99%, Spandex 1%",Regular fit,"The model is 183cm/6'0"" and wears a size 32/32",Dark denim blue,0811993,044,2022-10-31 19:42:43
108,1,0811993044,Cotton 100%,Regular fit,"The model is 183cm/6'0"" and wears a size 32/32",Dark denim blue,0811993,044,2022-10-31 19:42:43
109,0,0938875012,"Cotton 99%, Spandex 1%",Slim fit,"The model is 185cm/6'1"" and wears a size 31/32",Denim blue,0938875,012,2022-10-31 19:42:43
110,1,0938875012,Cotton 100%,Slim fit,"The model is 185cm/6'1"" and wears a size 31/32",Denim blue,0938875,012,2022-10-31 19:42:43
111,0,1063141001,"Lyocell 55%, Cotton 30%, Rayon 15%",Loose fit,,Denim blue,1063141,001,2022-10-31 19:42:43
112,1,1063141001,Cotton 100%,Loose fit,,Denim blue,1063141,001,2022-10-31 19:42:43
113,0,1096385001,Cotton 100%,Loose fit,,Black,1096385,001,2022-10-31 19:42:43
114,1,1096385001,Cotton 100%,Loose fit,,Black,1096385,001,2022-10-31 19:42:43
115,0,1013317012,"Cotton 78%, Polyester 21%, Spandex 1%",Regular fit,,Light denim blue,1013317,012,2022-10-31 19:42:43
116,0,1044249001,"Rayon 50%, Lyocell 50%",Loose fit,,Light denim blue,1044249,001,2022-10-31 19:42:43
117,1,1044249001,"Polyester 65%, Cotton 35%",Loose fit,,Light denim blue,1044249,001,2022-10-31 19:42:43
118,0,1051644001,"Lyocell 55%, Cotton 30%, Rayon 15%",Loose fit,,Denim blue,1051644,001,2022-10-31 19:42:43
119,1,1051644001,Cotton 100%,Loose fit,,Denim blue,1051644,001,2022-10-31 19:42:43
120,0,1096385002,Cotton 100%,Loose fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark denim blue,1096385,002,2022-10-31 19:42:43
121,1,1096385002,Cotton 100%,Loose fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark denim blue,1096385,002,2022-10-31 19:42:43
122,0,0993887001,"Cotton 77%, Polyester 21%, Spandex 2%",Regular fit,"The model is 187cm/6'2"" and wears a size 31/32",Denim blue,0993887,001,2022-10-31 19:42:43
123,0,1074475003,Cotton 100%,Loose fit,,Black,1074475,003,2022-10-31 19:42:43
124,1,1074475003,"Polyester 65%, Cotton 35%",Loose fit,,Black,1074475,003,2022-10-31 19:42:43
125,0,0971061002,"Cotton 99%, Spandex 1%",Slim fit,"The model is 184cm/6'0"" and wears a size 31",Light denim blue,0971061,002,2022-10-31 19:42:43
126,0,1004199007,"Cotton 98%, Spandex 2%",Skinny fit,,Denim blue,1004199,007,2022-10-31 19:42:43
127,1,1004199007,"Polyester 65%, Cotton 35%",Skinny fit,,Denim blue,1004199,007,2022-10-31 19:42:43
